Date,Ambulance Trust,Count of Handovers Over 15 Minutes,Handover Compliance,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
02-Jul-22,EEAST,725,84.10%,75.29%,312,32.40%,130,13.50%,82,8.52%,371.66,250.81,152.29,360.93,37.29,78.38,598.48,0.39
01-Jul-22,EEAST,773,84.46%,78.16%,335,33.87%,145,14.66%,91,9.20%,393.78,262,153.06,423.95,38.16,83.69,628.94,0.4
30-Jun-22,EEAST,769,80.22%,81.72%,398,42.30%,189,20.09%,130,13.82%,569.87,430.33,294.78,581.87,50.72,118.71,795.41,0.61
29-Jun-22,EEAST,834,81.16%,81.68%,415,40.65%,191,18.71%,128,12.54%,550.18,402.41,267.41,522.07,46.62,104.25,793.28,0.54
28-Jun-22,EEAST,672,78.29%,77.96%,362,42.00%,180,20.88%,127,14.73%,455.16,330.12,204.16,311.03,45.94,104.63,659.94,0.53
27-Jun-22,EEAST,735,76.50%,83.33%,430,48.75%,242,27.44%,182,20.63%,668.93,527.31,371.37,578.73,59.93,137.48,880.95,0.76
26-Jun-22,EEAST,750,81.94%,79.45%,343,36.33%,154,16.31%,107,11.33%,482.13,351.54,237.74,554.68,44.91,109.02,706.62,0.51
25-Jun-22,EEAST,724,81.95%,78.19%,352,38.01%,179,19.33%,110,11.88%,462.57,335.23,212.06,376.8,44.16,102.8,681.61,0.5
24-Jun-22,EEAST,804,84.99%,79.76%,340,33.73%,149,14.78%,102,10.12%,427.41,295.25,183.8,369.38,39.73,84.36,667.39,0.42
23-Jun-22,EEAST,811,83.73%,76.51%,421,39.72%,172,16.23%,114,10.75%,455.83,307.59,174.89,298.9,39.94,87.02,705.62,0.43
22-Jun-22,EEAST,796,83.32%,78.50%,370,36.49%,135,13.31%,76,7.50%,382.57,242.44,128.73,550.87,36.84,75.26,622.67,0.38
21-Jun-22,EEAST,747,80.10%,81.37%,393,42.81%,162,17.65%,102,11.11%,479.92,343.46,216.15,392.37,45.69,102.88,699.04,0.52
20-Jun-22,EEAST,706,74.19%,81.34%,422,48.62%,236,27.19%,169,19.47%,628.61,492.5,340.32,518.27,57.71,142.56,834.91,0.72
